id,predicted_price
2591820310,376691.2080691683
7974200820,869582.7444623113
7701450110,1134789.5260231495
9522300010,2001476.0124346735
9510861140,722320.7153421044
1761300310,241772.47350465058
7732410120,786693.7018359781
7010701383,657462.1403429032
291310170,413771.76329069136
4232901990,545265.2693641662
6840701125,667313.9694071055
3971700580,423994.0779062676
4202400078,244798.4296125102
4202400078,263592.0078102827
4202400078,244798.4296125102
4202400078,263592.0078102827
4202400078,244362.14683768273
4202400078,263122.2308890343
4202400078,244362.14683768273
4202400078,263122.2308890343
6064800090,360628.0396093011
2626119028,207225.282655735
3303980660,1099010.2845576643
862000020,884204.7851566672
2386000070,952381.4674082994
1138000450,356584.73889158963
1775800420,474498.8495275593
2291401425,411508.5648403656
2025770560,934925.264844507
3525069037,674102.061945796
9324800450,552709.5856881022
8080400136,552487.8368807554
8651540040,513571.11484479904
9407001790,250495.23787631333
1773101530,198627.694692775
9432900250,341660.08534686686
1794500695,623098.9006895303
2220069003,356390.6273326159
923000120,498836.9668772936
5728000060,539580.4734046484
16000200,237810.69927038669
1926059094,444250.76657064556
6672900220,1017797.3681784153
3629860060,808698.3545742035
1822069109,397621.52053438127
6675500105,366827.7532758283
249000180,1964681.1602225779
226059065,470806.78473665
396100110,267132.36803973676
9264450460,329838.40188082936
7853361210,380412.8617345857
9474700020,283100.14285616577
421000455,269180.96301555634
3755200220,421008.0297183872
7960100075,478272.53276388644
9477100490,425189.94410151243
9138100350,855740.1444308568
1624049275,476385.6447108936
2770606890,503589.8502786255
1157200189,380929.72650039196
2770601800,538968.0735601485
9301300805,563215.2028018236
2325069032,1124045.722344494
1021079099,340411.7523225099
7215730040,735171.7321249724
1853200080,442831.1744459629
3224600340,688489.7119126677
3222049120,458596.3111055016
2113700025,282496.061104958
7893207925,207397.20206695676
3586501085,567319.0806589127
8024200010,326960.7194689167
7116500705,176649.03012166024
1598600209,312100.04069444415
7204200025,903246.4777470231
4206901505,598682.2948857397
2937300440,914898.1218932151
7205000180,344583.75600001216
8718500665,359081.89841240644
5318101765,953369.4215770811
4122700020,999627.7380009532
8078700020,516011.7288828027
3303980680,873986.3195172071
8924100372,1270773.651067078
2781270210,209402.04728172778
519000043,513794.7001513481
3225069301,1376245.7376769306
151000075,748738.4246730804
2297400020,430824.2346972764
6617500085,692649.5570198059
104510180,242665.16356437682
3528900060,983863.8960044682
3345100286,496294.0848508787
1226039130,433062.4124265671
8712100720,784165.5957910585
3037200010,408779.56700782775
3626039268,409325.04285354615
104510230,246310.7570688355
5112800060,394203.0664302528
6072400280,627386.3340584087
5317100570,1127782.5744958164
9528102993,499511.7634047759
2919201095,510093.0706130862
6181400920,262616.2558802903
185000161,246860.51930912616
8691400010,767665.317368567
3345700165,539717.7889137268
6151800486,211827.28486827316
4340000080,1291312.208953643
4136960010,544161.4538237333
3634100030,319682.2994977927
1624059224,1033378.314899087
2788400090,248224.63588789105
9828200762,431072.30828301434
7524400250,565531.2708576322
3528000290,733529.1558445322
5700003630,1855076.3489326716
2720069019,297967.39573848486
7227501170,237352.25526288152
2397101270,629295.3573544979
6792100090,725841.0193187147
2770602265,535716.6093923808
3971700937,276849.6585415292
422049203,218970.80267555357
3076500830,295024.51110584737
1423400260,301744.21389591694
9161100795,479140.5464771032
3126049052,513498.2571302128
5100401468,383790.89172407985
514500235,436217.7152483153
1423200170,185812.20906438588
1402100070,399779.97716997867
624110020,691590.0928292572
2407000145,193404.84357357025
1890000225,798261.2326102138
1320069271,342024.54795939085
5490700085,346543.6211305618
263000155,454247.2589197326
3726800201,437306.40632243396
5153200358,287418.3953818274
2725079018,702743.7098104239
7165700200,261522.78287889718
9429000170,596238.5616406441
